instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,signal_1d,signal_7d,signal_31d
341249,1333,HDFCBANK,HDFC BANK,0,,0,0.05,1,EQ,NSE,NSE,-1.1635220125785242,0.6008928571428507,0.35453629032258965
2939649,11483,LT,LARSEN & TOUBRO.,0,,0,0.05,1,EQ,NSE,NSE,5.429752066115561,0.3000813228517339,0.3259997026906584
1270529,4963,ICICIBANK,ICICI BANK.,0,,0,0.05,1,EQ,NSE,NSE,2.0714285714285605,0.5443349753694714,0.3159562211981483
2815745,10999,MARUTI,MARUTI SUZUKI INDIA.,0,,0,0.05,1,EQ,NSE,NSE,6.120879120879094,0.6120598280532193,0.31098552657751277
1076225,4204,MOTHERSON,SAMVRDHNA MTHRSN INTL,0,,0,0.05,1,EQ,NSE,NSE,5.666666666666656,0.647959183673456,0.2548387096774193
806401,3150,SIEMENS,SIEMENS,0,,0,0.05,1,EQ,NSE,NSE,-0.6615598885793428,0.3533026113671403,0.23913797523715047
1459457,5701,CUB,CITY UNION BANK,0,,0,0.05,1,EQ,NSE,NSE,-1.69999999999997,1.1124620060790378,0.22992450240219983
1895937,7406,GLENMARK,GLENMARK PHARMACEUTICALS,0,,0,0.05,1,EQ,NSE,NSE,2.5051546391752773,1.1767304860088303,0.2261868533171031
5181953,20242,OBEROIRLTY,OBEROI REALTY,0,,0,0.05,1,EQ,NSE,NSE,-1.759420289855093,0.5364285714285645,0.2226219260482408
952577,3721,TATACOMM,TATA COMMUNICATIONS,0,,0,0.05,1,EQ,NSE,NSE,-1.7718446601942661,0.5869832173556829,0.22152640115335934
173057,676,EXIDEIND,EXIDE INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,8.115384615384606,1.485714285714286,0.21861042183623083
7458561,29135,INDUSTOWER,INDUS TOWERS,0,,0,0.05,1,EQ,NSE,NSE,0.8409090909090977,0.310064935064937,0.1999022482893459
5552641,21690,DIXON,DIXON TECHNO (INDIA),0,,0,0.05,1,EQ,NSE,NSE,-0.6830031282586432,0.20393586005830197,0.19803401974862692
589569,2303,HAL,HINDUSTAN AERONAUTICS,0,,0,0.05,1,EQ,NSE,NSE,-1.1445086705201777,0.39299683367479643,0.1596407624633411
175361,685,CHOLAFIN,CHOLAMANDALAM IN & FIN CO,0,,0,0.05,1,EQ,NSE,NSE,-2.5531914893617516,0.17502365184483631,0.15773499826570095
103425,404,BERGEPAINT,BERGER PAINTS (I),0,,0,0.05,1,EQ,NSE,NSE,0.11363636363646484,-0.2893309222422947,0.15401644528778988
3329,13,ABB,ABB INDIA,0,,0,0.05,1,EQ,NSE,NSE,1.059999999999916,0.39190353143840284,0.15392311423720215
3520257,13751,NAUKRI,INFO EDGE (I),0,,0,0.05,1,EQ,NSE,NSE,2.478723404255294,0.4725522704246014,0.1536885672094985
4923905,19234,LAURUSLABS,LAURUS LABS,0,,0,0.05,1,EQ,NSE,NSE,3.6694915254237586,1.1573236889692602,0.14556962025316736
119553,467,HDFCLIFE,HDFC LIFE INS CO,0,,0,0.05,1,EQ,NSE,NSE,1.1125000000000966,-0.0984743411927836,0.1290322580645265
871681,3405,TATACHEM,TATA CHEMICALS,0,,0,0.05,1,EQ,NSE,NSE,0.07179487179483018,0.21487119437938113,0.12486718517573757
108033,422,BHARATFORG,BHARAT FORGE,0,,0,0.05,1,EQ,NSE,NSE,1.463768115942021,0.5579710144927541,0.11774193548387633
2714625,10604,BHARTIARTL,BHARTI AIRTEL,0,,0,0.05,1,EQ,NSE,NSE,2.6929824561402342,-0.3960317460317717,0.11551592001671866
6054401,23650,MUTHOOTFIN,MUTHOOT FINANCE,0,,0,0.05,1,EQ,NSE,NSE,0.7040816326530109,0.5023371311714835,0.10755956466319991
758529,2963,SAIL,STEEL AUTHORITY OF INDIA,0,,0,0.05,1,EQ,NSE,NSE,-2.1111111111111995,0.5687830687830483,0.10623655913977659
4774913,18652,ICICIPRULI,ICICI PRU LIFE INS CO,0,,0,0.05,1,EQ,NSE,NSE,1.2526315789473785,0.14810924369748252,0.10600527490363633
2674433,10447,MCDOWELL-N,UNITED SPIRITS,0,,0,0.05,1,EQ,NSE,NSE,0.3300492610837318,-0.145669291338603,0.10385831752054855
1346049,5258,INDUSINDBK,INDUSIND BANK,0,,0,0.05,1,EQ,NSE,NSE,0.9166666666665534,0.0008554319931617086,0.1011203399652384
681985,2664,PIDILITIND,PIDILITE INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,2.3497109826589386,-0.09376723662439691,0.10055957867017479
6191105,24184,PIIND,PI INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,1.3227459016393144,0.06454918032786085,0.09565044949761718
54273,212,ASHOKLEY,ASHOK LEYLAND,0,,0,0.05,1,EQ,NSE,NSE,0.6874999999999992,0.9183673469387876,0.0910815939278967
4592385,17939,HINDCOPPER,HINDUSTAN COPPER,0,,0,0.05,1,EQ,NSE,NSE,1.9795918367346892,0.8141783029001104,0.08197914140189125
1793,7,AARTIIND,AARTI INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,0.8830409356725274,0.6516290726817063,0.07854137447404547
784129,3063,VEDL,VEDANTA,0,,0,0.05,1,EQ,NSE,NSE,-0.24175824175821142,0.7801242236024742,0.07573632538569577
1723649,6733,JINDALSTEL,JINDAL STEEL & POWER,0,,0,0.05,1,EQ,NSE,NSE,-0.8365384615383712,0.547725816784123,0.075692678356314
2953217,11536,TCS,TATA CONSULTANCY SERV LT,0,,0,0.05,1,EQ,NSE,NSE,-1.261410788381785,0.8422436459246107,0.075036792490356
4267265,16669,BAJAJ-AUTO,BAJAJ AUTO,0,,0,0.05,1,EQ,NSE,NSE,-1.1252900232017193,-0.5827143821741895,0.06985379438384227
486657,1901,CUMMINSIND,CUMMINS INDIA,0,,0,0.05,1,EQ,NSE,NSE,-0.8750994431185525,-0.15297192862825604,0.06851951651397342
2029825,7929,ZYDUSLIFE,ZYDUS LIFESCIENCES,0,,0,0.05,1,EQ,NSE,NSE,-1.7950819672130776,-0.56805399325085,0.06601919297028684
1207553,4717,GAIL,GAIL (INDIA),0,,0,0.05,1,EQ,NSE,NSE,4.790697674418661,1.0897009966777447,0.05887096774193764
245249,958,ESCORTS,ESCORTS KUBOTA,0,,0,0.05,1,EQ,NSE,NSE,3.293478260869564,1.1027999182505581,0.05234398552909675
2452737,9581,METROPOLIS,METROPOLIS HEALTHCARE,0,,0,0.05,1,EQ,NSE,NSE,1.802588996763757,0.12692200167738868,0.04727737070931245
4376065,17094,CROMPTON,CROMPT GREA CON ELEC,0,,0,0.05,1,EQ,NSE,NSE,4.648648648648748,1.5212355212355677,0.04633431085044299
951809,3718,VOLTAS,VOLTAS,0,,0,0.05,1,EQ,NSE,NSE,-0.016290726817039622,0.33906194056569977,0.04608816231207306
70401,275,AUROPHARMA,AUROBINDO PHARMA,0,,0,0.05,1,EQ,NSE,NSE,-0.36956521739132464,-0.06094720496894839,0.04386608015640176
837889,3273,SRF,SRF,0,,0,0.05,1,EQ,NSE,NSE,0.5394402035624029,0.19847775175643728,0.043663594470043
85761,335,BALKRISIND,BALKRISHNA IND.,0,,0,0.05,1,EQ,NSE,NSE,1.1586402266288025,0.48975286317057204,0.04256151638987677
877057,3426,TATAPOWER,TATA POWER CO,0,,0,0.05,1,EQ,NSE,NSE,-0.8250000000000455,0.3146473779385218,0.04203843514069883
81153,317,BAJFINANCE,BAJAJ FINANCE,0,,0,0.05,1,EQ,NSE,NSE,-1.6955602536997545,-0.12238031147856956,0.03988714715492844
1510401,5900,AXISBANK,AXIS BANK,0,,0,0.05,1,EQ,NSE,NSE,2.1999999999999136,0.38196125907989587,0.03772553307817491
2977281,11630,NTPC,NTPC,0,,0,0.05,1,EQ,NSE,NSE,5.5135135135134705,0.8129251700680388,0.03394109396914723
2883073,11262,IGL,INDRAPRASTHA GAS,0,,0,0.05,1,EQ,NSE,NSE,2.1323529411764666,0.883403361344539,0.029458307973219404
163073,637,CHAMBLFERT,CHAMBAL FERTILIZERS,0,,0,0.05,1,EQ,NSE,NSE,-2.9268292682926953,1.057142857142853,0.029178885630498308
2513665,9819,HAVELLS,HAVELLS INDIA,0,,0,0.05,1,EQ,NSE,NSE,-2.88317757009348,-0.09884678747941465,0.025196967444626
2455041,9590,POLYCAB,POLYCAB INDIA,0,,0,0.05,1,EQ,NSE,NSE,-0.6488294314381258,0.14080950105796303,0.024459411556191666
519937,2031,M&M,MAHINDRA & MAHINDRA,0,,0,0.05,1,EQ,NSE,NSE,4.549800796812896,0.5406698564593291,0.023407212347303724
558337,2181,BOSCHLTD,BOSCH,0,,0,0.05,1,EQ,NSE,NSE,0.9684210526315687,0.28540955631399045,0.015525470314037122
3876097,15141,COLPAL,COLGATE PALMOLIVE.,0,,0,0.05,1,EQ,NSE,NSE,-1.6231617647058803,-0.19363249622615983,0.013045768646768268
884737,3456,TATAMOTORS,TATA MOTORS,0,,0,0.05,1,EQ,NSE,NSE,1.1159420289855322,0.12315270935961634,0.011604145380237981
633601,2475,ONGC,OIL AND NATURAL GAS CORP.,0,,0,0.05,1,EQ,NSE,NSE,1.6923076923074933,-0.12324929971988971,0.01142473118280205
2865921,11195,INDIGO,INTERGLOBE AVIATION,0,,0,0.05,1,EQ,NSE,NSE,1.820040899795552,-0.5079365079364974,0.011243474769104969
418049,1633,IPCALAB,IPCA LABORATORIES,0,,0,0.05,1,EQ,NSE,NSE,-1.3820598006644376,0.1362126245847237,0.010883818515602875
112129,438,BHEL,BHEL,0,,0,0.05,1,EQ,NSE,NSE,0.18032786885244373,0.3255269320842992,0.0082712985938776
1629185,6364,NATIONALUM,NATIONAL ALUMINIUM CO,0,,0,0.05,1,EQ,NSE,NSE,-0.7741935483870431,0.6962025316455746,0.007758268681099032
548353,2142,MFSL,MAX FINANCIAL SERV,0,,0,0.05,1,EQ,NSE,NSE,2.771739130434675,0.07692307692306952,0.0071770334928225755
2800641,10940,DIVISLAB,DIVI S LABORATORIES,0,,0,0.05,1,EQ,NSE,NSE,1.635955056179819,1.2512965582272584,0.007026509102520977
857857,3351,SUNPHARMA,SUN PHARMACEUTICAL IND L,0,,0,0.05,1,EQ,NSE,NSE,-1.3385826771653613,0.01309049516222732,0.0037220843672583197
2748929,10738,OFSS,ORACLE FIN SERV SOFT.,0,,0,0.05,1,EQ,NSE,NSE,-3.1706464764124043,-0.18311586929854987,-7.563438339327775e-05
3400961,13285,M&MFIN,M&M FIN. SERVICES,0,,0,0.05,1,EQ,NSE,NSE,-0.39189189189187495,0.8364661654135312,-0.0024471635150145024
