instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,signal_1,signal_2,signal_1_7d,signal_2_7d,signal_3_7d,signal_3_31d
5181953,20242,OBEROIRLTY,OBEROI REALTY,0,,0,0.05,1,EQ,NSE,NSE,0.5840860215053765,0.3684210526315789,0.4342857142857143,0.3333333333333333,0.6267616226137364,0.5982682590744328
341249,1333,HDFCBANK,HDFC BANK,0,,0,0.05,1,EQ,NSE,NSE,0.5995698924731182,0.47368421052631576,0.41523809523809524,0.3333333333333333,0.6848346611371833,0.5793504945410047
4267265,16669,BAJAJ-AUTO,BAJAJ AUTO,0,,0,0.05,1,EQ,NSE,NSE,0.6202150537634409,0.47368421052631576,0.41904761904761906,0.3333333333333333,-0.22200844730417998,0.48508595787012404
1076225,4204,MOTHERSON,SAMVRDHNA MTHRSN INTL,0,,0,0.05,1,EQ,NSE,NSE,0.5470967741935484,0.21052631578947367,0.3428571428571429,0.0,0.7915140415140213,0.4268037599769735
952577,3721,TATACOMM,TATA COMMUNICATIONS,0,,0,0.05,1,EQ,NSE,NSE,0.61505376344086,0.5789473684210527,0.46095238095238095,1.0,0.8905084499922756,0.4160134157838183
589569,2303,HAL,HINDUSTAN AERONAUTICS,0,,0,0.05,1,EQ,NSE,NSE,0.6210752688172043,0.47368421052631576,0.44571428571428573,0.6666666666666666,1.1746681070508866,0.4128173631705622
2748929,10738,OFSS,ORACLE FIN SERV SOFT.,0,,0,0.05,1,EQ,NSE,NSE,0.6365591397849463,0.6842105263157895,0.4304761904761905,0.6666666666666666,0.09381593647836804,0.38812978455668234
3329,13,ABB,ABB INDIA,0,,0,0.05,1,EQ,NSE,NSE,0.6210752688172043,0.631578947368421,0.4533333333333333,0.6666666666666666,0.32204927577986336,0.38784508215400065
2674433,10447,MCDOWELL-N,UNITED SPIRITS,0,,0,0.05,1,EQ,NSE,NSE,0.5944086021505377,0.0,0.4,0.0,-0.11453959559405173,0.3844867679507916
871681,3405,TATACHEM,TATA CHEMICALS,0,,0,0.05,1,EQ,NSE,NSE,0.590967741935484,0.47368421052631576,0.34285714285714286,0.0,-0.9195528369320284,0.34704923848452035
633601,2475,ONGC,OIL AND NATURAL GAS CORP.,0,,0,0.05,1,EQ,NSE,NSE,0.5789247311827957,0.2631578947368421,0.4114285714285714,0.6666666666666666,1.1876691729323479,0.3285670931825196
175361,685,CHOLAFIN,CHOLAMANDALAM IN & FIN CO,0,,0,0.05,1,EQ,NSE,NSE,0.6116129032258065,0.5263157894736842,0.45333333333333325,1.0,1.1010580890890183,0.3285203166185427
877057,3426,TATAPOWER,TATA POWER CO,0,,0,0.05,1,EQ,NSE,NSE,0.5574193548387097,0.21052631578947367,0.3961904761904762,0.3333333333333333,0.9650159966615792,0.3123953361284
1895937,7406,GLENMARK,GLENMARK PHARMACEUTICALS,0,,0,0.05,1,EQ,NSE,NSE,0.6064516129032258,0.5789473684210527,0.42666666666666664,0.3333333333333333,0.24179267498989257,0.2883909689161236
7458561,29135,INDUSTOWER,INDUS TOWERS,0,,0,0.05,1,EQ,NSE,NSE,0.6047311827956989,0.3157894736842105,0.44571428571428573,0.6666666666666666,0.7372033758119055,0.28670131813677774
4488705,17534,MGL,MAHANAGAR GAS.,0,,0,0.05,1,EQ,NSE,NSE,0.5995698924731184,0.47368421052631576,0.41523809523809524,0.3333333333333333,0.2447920323456849,0.28124667703819717
2815745,10999,MARUTI,MARUTI SUZUKI INDIA.,0,,0,0.05,1,EQ,NSE,NSE,0.6219354838709679,0.42105263157894735,0.4228571428571429,0.3333333333333333,-0.18516842845794468,0.28027159988312217
2939649,11483,LT,LARSEN & TOUBRO.,0,,0,0.05,1,EQ,NSE,NSE,0.6176344086021506,0.5789473684210527,0.43809523809523804,0.6666666666666666,0.3024015164670189,0.27861701264412
806401,3150,SIEMENS,SIEMENS,0,,0,0.05,1,EQ,NSE,NSE,0.5772043010752689,0.3157894736842105,0.4342857142857143,0.6666666666666666,0.9370374715600684,0.2773435499695547
1459457,5701,CUB,CITY UNION BANK,0,,0,0.05,1,EQ,NSE,NSE,0.5273118279569893,0.21052631578947367,0.3847619047619048,0.6666666666666666,1.4077310924370228,0.2706957423867056
2714625,10604,BHARTIARTL,BHARTI AIRTEL,0,,0,0.05,1,EQ,NSE,NSE,0.596989247311828,0.47368421052631576,0.44571428571428573,0.6666666666666666,-0.585106541056197,0.2630570710965403
1723649,6733,JINDALSTEL,JINDAL STEEL & POWER,0,,0,0.05,1,EQ,NSE,NSE,0.5926881720430107,0.42105263157894735,0.47619047619047616,1.0,1.5137994634473368,0.2532035485487636
98049,383,BEL,BHARAT ELECTRONICS,0,,0,0.05,1,EQ,NSE,NSE,0.5574193548387097,0.10526315789473684,0.4228571428571429,0.3333333333333333,1.1454227405247843,0.24825860005731465
3876097,15141,COLPAL,COLGATE PALMOLIVE.,0,,0,0.05,1,EQ,NSE,NSE,0.6296774193548387,0.5263157894736842,0.4533333333333333,0.6666666666666666,0.28157909596980857,0.2423287134567619
1270529,4963,ICICIBANK,ICICI BANK.,0,,0,0.05,1,EQ,NSE,NSE,0.5987096774193548,0.42105263157894735,0.4228571428571429,0.3333333333333333,0.02602536872200537,0.2360657218577823
2865921,11195,INDIGO,INTERGLOBE AVIATION,0,,0,0.05,1,EQ,NSE,NSE,0.6417204301075269,0.7368421052631579,0.4038095238095239,0.3333333333333333,-0.5534891561449222,0.23215114357917124
81153,317,BAJFINANCE,BAJAJ FINANCE,0,,0,0.05,1,EQ,NSE,NSE,0.5901075268817204,0.47368421052631576,0.4228571428571429,0.6666666666666666,0.44456102388884083,0.2191056605277176
2800641,10940,DIVISLAB,DIVI S LABORATORIES,0,,0,0.05,1,EQ,NSE,NSE,0.5901075268817205,0.3684210526315789,0.46476190476190476,1.0,1.9003480942558906,0.2186519968459454
2883073,11262,IGL,INDRAPRASTHA GAS,0,,0,0.05,1,EQ,NSE,NSE,0.5729032258064518,0.15789473684210525,0.3885714285714285,0.0,0.48236931136090516,0.20793876967798894
486657,1901,CUMMINSIND,CUMMINS INDIA,0,,0,0.05,1,EQ,NSE,NSE,0.6176344086021506,0.5789473684210527,0.4342857142857143,0.6666666666666666,-0.05851283827383767,0.20781763387368063
2455041,9590,POLYCAB,POLYCAB INDIA,0,,0,0.05,1,EQ,NSE,NSE,0.6030107526881721,0.3684210526315789,0.4457142857142858,0.6666666666666666,0.5322942456766048,0.18518915140254855
2452737,9581,METROPOLIS,METROPOLIS HEALTHCARE,0,,0,0.05,1,EQ,NSE,NSE,0.6081720430107528,0.5263157894736842,0.4342857142857143,0.6666666666666666,-0.01783430426060408,0.18375844579891756
895745,3499,TATASTEEL,TATA STEEL,0,,0,0.05,1,EQ,NSE,NSE,0.5505376344086022,0.21052631578947367,0.4533333333333333,0.6666666666666666,1.4177018633540517,0.17338852428648382
6191105,24184,PIIND,PI INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,0.6391397849462367,0.631578947368421,0.4342857142857143,0.6666666666666666,-0.06846432882448056,0.17169960281063654
3930881,15355,RECLTD,REC,0,,0,0.05,1,EQ,NSE,NSE,0.590967741935484,0.42105263157894735,0.4114285714285714,0.0,0.7006987174735084,0.16791145932339205
5552641,21690,DIXON,DIXON TECHNO (INDIA),0,,0,0.05,1,EQ,NSE,NSE,0.6313978494623658,0.6842105263157895,0.47238095238095246,0.6666666666666666,0.7809529083832182,0.16372063363195635
