instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,signal_1_1d,signal_2_1d,signal_3_1d,signal_1_7d,signal_2_7d,signal_3_7d,signal_1_31d,signal_2_31d,signal_3_31d
2953217,11536,TCS,TATA CONSULTANCY SERV LT,0,,0,0.05,1,EQ,NSE,NSE,1.084337349,1,5.602816901,0.615857717,1,1.471302705,0.638849592,0.55,-0.002249164
4752385,18564,LTTS,L&T TECHNOLOGY SER..,0,,0,0.05,1,EQ,NSE,NSE,1.012048193,1,5.28375,0.578864028,0.5,1.268160356,0.650281124,0.45,0.269464359
1459457,5701,CUB,CITY UNION BANK,0,,0,0.05,1,EQ,NSE,NSE,0.987951807,0,5.125,0.525897877,0.5,2.13987395,0.559181241,0.2,0.436018323
2714625,10604,BHARTIARTL,BHARTI AIRTEL,0,,0,0.05,1,EQ,NSE,NSE,1.084337349,1,4.782945736,0.600619621,0.75,0.098171421,0.631967871,0.5,0.417345643
2730497,10666,PNB,PUNJAB NATIONAL BANK,0,,0,0.05,1,EQ,NSE,NSE,0.915662651,0,4.763157895,0.492713712,0,1.191892068,0.575774064,0.15,0.126853699
2763265,10794,CANBK,CANARA BANK,0,,0,0.05,1,EQ,NSE,NSE,1.012048193,1,4.436619718,0.57124498,0.5,1.752715155,0.608130587,0.35,0.147142648
951809,3718,VOLTAS,VOLTAS,0,,0,0.05,1,EQ,NSE,NSE,0.963855422,0,4.420560748,0.602455536,0.75,1.29823549,0.645285659,0.55,0.15085745
1102337,4306,SHRIRAMFIN,SHRIRAM FINANCE,0,,0,0.05,1,EQ,NSE,NSE,1.108433735,1,4.21025641,0.619300057,1,1.427755747,0.646508615,0.5,0.158510638
70401,275,AUROPHARMA,AUROBINDO PHARMA,0,,0,0.05,1,EQ,NSE,NSE,0.891566265,0,3.957831325,0.542604705,0.25,0.596227817,0.616287084,0.35,0.180444352
163073,637,CHAMBLFERT,CHAMBAL FERTILIZERS,0,,0,0.05,1,EQ,NSE,NSE,0.891566265,0,3.955555556,0.565461847,0.5,0.985677025,0.599082783,0.3,0.099145326
2955009,11543,COFORGE,COFORGE,0,,0,0.05,1,EQ,NSE,NSE,0.987951807,0,3.797856049,0.541135972,0.5,0.079979022,0.594450058,0.35,-0.594543554
2977281,11630,NTPC,NTPC,0,,0,0.05,1,EQ,NSE,NSE,0.987951807,0,3.685714286,0.609707401,0.75,1.413276764,0.619396295,0.3,0.206754182
387073,1512,INDHOTEL,THE INDIAN HOTELS CO.,0,,0,0.05,1,EQ,NSE,NSE,0.915662651,0,3.644444444,0.58033276,0.5,0.588794652,0.623085892,0.35,0.161833219
245249,958,ESCORTS,ESCORTS KUBOTA,0,,0,0.05,1,EQ,NSE,NSE,1.012048193,1,3.633762518,0.620768789,1,0.853181909,0.636517684,0.5,-0.09057826
4923905,19234,LAURUSLABS,LAURUS LABS,0,,0,0.05,1,EQ,NSE,NSE,0.939759036,0,3.584,0.538060815,0.25,1.241928248,0.575691152,0.2,-0.202447617
81153,317,BAJFINANCE,BAJAJ FINANCE,0,,0,0.05,1,EQ,NSE,NSE,1.084337349,1,3.449180328,0.577762478,0.75,0.937301071,0.625086151,0.5,0.330369542
3660545,14299,PFC,POWER FIN CORP.,0,,0,0.05,1,EQ,NSE,NSE,0.987951807,0,3.355263158,0.563993115,0.5,1.452245019,0.609933929,0.3,0.049484977
60417,236,ASIANPAINT,ASIAN PAINTS,0,,0,0.05,1,EQ,NSE,NSE,1.060240964,1,3.314465409,0.585748709,0.75,1.022125995,0.662158311,0.6,0.126328639
4879617,19061,MANAPPURAM,MANAPPURAM FINANCE,0,,0,0.05,1,EQ,NSE,NSE,1.036144578,1,3.285714286,0.548020654,0.25,0.938685662,0.571058427,0.1,-0.168861532
1895937,7406,GLENMARK,GLENMARK PHARMACEUTICALS,0,,0,0.05,1,EQ,NSE,NSE,0.963855422,0,3.222222222,0.564360298,0.25,0.702110135,0.637543723,0.55,0.392333621
1152769,4503,MPHASIS,MPHASIS,0,,0,0.05,1,EQ,NSE,NSE,0.987951807,0,3.160550459,0.552564544,0.25,1.04497953,0.606493069,0.3,-0.25062189
2905857,11351,PETRONET,PETRONET LNG,0,,0,0.05,1,EQ,NSE,NSE,0.987951807,0,3.147540984,0.54875502,0.25,0.853963973,0.587568338,0.1,0.002842425
1207553,4717,GAIL,GAIL (INDIA),0,,0,0.05,1,EQ,NSE,NSE,0.746987952,0,3.1,0.502903041,0,0.624404762,0.593558751,0.25,-0.227752028
